scope,chapterId,sequence,activityId,origin,sourceIds,type,conceptKey,prompt,answer,options,notes,dataHash
"raw-source","ch15","10","s19_p2-2","source-json","s19_p2","matching","","Match to make 100.","[80,20]","","expanded from s19_p2","f7d92d2a"
"raw-source","ch15","10","s19_p2-3","source-json","s19_p2","matching","","Match to make 100.","[40,60]","","expanded from s19_p2","fa0d2729"
"raw-source","ch15","10","s19_p2-4","source-json","s19_p2","matching","","Match to make 100.","[10,90]","","expanded from s19_p2","91878648"
"raw-source","ch15","10","s19_p2-5","source-json","s19_p2","matching","","Match to make 100.","[50,50]","","expanded from s19_p2","1d7f734f"
"raw-source","ch15","10","s19_p2-6","source-json","s19_p2","matching","","Match to make 100.","[100,0]","","expanded from s19_p2","57f8d87f"
"raw-source","ch15","11","s19_p3","source-json","s19_p3","area_ordering","capacity","Arrange the following shapes from the greatest area to the least area.","B, A, C, D","","","5fd54aaa"
"raw-source","ch15","11","s19_p3-2","source-json","s19_p3","area_ordering","capacity","Arrange the following shapes from the greatest area to the least area.","B, A, C, D","","expanded from s19_p3","a6e9d0d1"
"raw-source","ch15","11","s19_p3-3","source-json","s19_p3","area_ordering","capacity","Arrange the following shapes from the greatest area to the least area.","B, A, C, D","","expanded from s19_p3","311dbc32"
"raw-source","ch15","11","s19_p3-4","source-json","s19_p3","area_ordering","capacity","Arrange the following shapes from the greatest area to the least area.","B, A, C, D","","expanded from s19_p3","439c40fb"
"raw-source","ch15","12","s19_p4","source-json","s19_p4","make_ten_addition","place-value/number","Make a ten to add 8 + 5","13","","","265a3678"
"raw-source","ch15","13","s19_p5","source-json","s19_p5","stick_construction","","How many sticks (—) were used to make the opposite shape?","12","","","be549c80"
"raw-source","ch16","1","s20_p1","source-json","s20_p1","number_ordering","capacity","Arrange the following numbers from least to greatest.","[19,63,85,94,100]","","","e60a5c0c"
"raw-source","ch16","1","s20_p1-2","source-json","s20_p1","number_ordering","capacity","Arrange the following numbers from least to greatest.","[19,63,85,94,100]","","expanded from s20_p1","fa618ed1"
"raw-source","ch16","1","s20_p1-3","source-json","s20_p1","number_ordering","capacity","Arrange the following numbers from least to greatest.","[19,63,85,94,100]","","expanded from s20_p1","c22a038c"
"raw-source","ch16","1","s20_p1-4","source-json","s20_p1","number_ordering","capacity","Arrange the following numbers from least to greatest.","[19,63,85,94,100]","","expanded from s20_p1","b8687e27"
"raw-source","ch16","1","s20_p1-5","source-json","s20_p1","number_ordering","capacity","Arrange the following numbers from least to greatest.","[19,63,85,94,100]","","expanded from s20_p1","8686311a"
"raw-source","ch16","2","s20_p2","source-json","s20_p2","analog_clock_read","time","Let's read the clocks.","","","","138aa8ab"
"raw-source","ch16","2","s20_p2-2","source-json","s20_p2","analog_clock_read","time","Let's read the clocks.","","","expanded from s20_p2","d517e6bc"
"raw-source","ch16","2","s20_p2-3","source-json","s20_p2","analog_clock_read","time","Let's read the clocks.","","","expanded from s20_p2","a388a54b"
"raw-source","ch16","3","s20_p3","source-json","s20_p3","stick_construction","","We made a shape using sticks (—) as follow. Answer the questions.","","","","a72abf6f"
"raw-source","ch16","4","s20_p4","source-json","s20_p4","multiple_choice","","Choose the correct answer.","","","","5177d300"
"raw-source","ch16","5","ass16_p1","source-json","ass16_p1","trace_source_identification","shape","We traced a shape onto paper, and it looks like a red circle. Which shape did we trace?","cylinder","[""cuboid"",""triangular_prism"",""cube"",""cylinder""]","","4e82722d"
"raw-source","ch16","6","ass16_p2","source-json","ass16_p2","capacity_matching","capacity","Match the equal amounts (number of cups).","{""item1"":""Patterned vase"",""item2"":""Yellow pitcher"",""cups"":3}","","","c4f1c504"
"raw-source","ch16","6","ass16_p2-2","source-json","ass16_p2","capacity_matching","capacity","Match the equal amounts (number of cups).","{""item1"":""Red gas can"",""item2"":""Red vase"",""cups"":4}","","expanded from ass16_p2","ebf14117"
"raw-source","ch16","6","ass16_p2-3","source-json","ass16_p2","capacity_matching","capacity","Match the equal amounts (number of cups).","{""item1"":""Orange juice box"",""item2"":""Green bucket"",""cups"":5}","","expanded from ass16_p2","b677864d"
"raw-source","ch16","6","ass16_p2-4","source-json","ass16_p2","capacity_matching","capacity","Match the equal amounts (number of cups).","{""item1"":""Red teapot"",""item2"":""Pink water bottle"",""cups"":6}","","expanded from ass16_p2","ad0944a0"
"raw-source","ch16","7","ass16_p3","source-json","ass16_p3","odd_one_out_3d","shape","Cross out the shape that does not belong in each group.","","","","bf6b31cb"
"raw-source","ch16","8","ass16_p4","source-json","ass16_p4","shape_decomposition","shape","Which shapes were used to make the opposite structure? Choose all that apply.","[""cube"",""cylinder"",""cuboid""]","[""cube"",""cylinder"",""cuboid"",""sphere""]","","bf007505"
"raw-source","ch16","9","ass16_p5","source-json","ass16_p5","area_ordering_grid","capacity","Arrange from the largest area to the smallest area.","A, D, B, C","","","b94bfa8e"
"raw-source","ch16","9","ass16_p5-2","source-json","ass16_p5","area_ordering_grid","capacity","Arrange from the largest area to the smallest area.","A, D, B, C","","expanded from ass16_p5","7d98b2ff"
"raw-source","ch16","9","ass16_p5-3","source-json","ass16_p5","area_ordering_grid","capacity","Arrange from the largest area to the smallest area.","A, D, B, C","","expanded from ass16_p5","8230707e"
"raw-source","ch16","9","ass16_p5-4","source-json","ass16_p5","area_ordering_grid","capacity","Arrange from the largest area to the smallest area.","A, D, B, C","","expanded from ass16_p5","383f699d"
"raw-source","ch16","10","ass16_p6","source-json","ass16_p6","object_part_counting","","How many of each shape were used to make the toy cart?","","","","f6e2fa20"
"raw-source","ch17","1","ass17_p1","source-json","ass17_p1","number_comparison","place-value/number","Compare using >, <, or =.",">","","","1ce918e2"
"raw-source","ch17","1","ass17_p1-2","source-json","ass17_p1","number_comparison","place-value/number","Compare using >, <, or =.",">","","expanded from ass17_p1","fc80f113"
"raw-source","ch17","1","ass17_p1-3","source-json","ass17_p1","number_comparison","place-value/number","Compare using >, <, or =.","<","","expanded from ass17_p1","348fda98"
"raw-source","ch17","2","ass17_p2","source-json","ass17_p2","fill_missing_numbers","place-value/number","Write the missing numbers.","","","","385ab8ac"
"raw-source","ch17","3","ass17_p3","source-json","ass17_p3","visual_pattern_completion","","Continue the pattern.","","","","de9235e9"
"raw-source","ch17","4","ass17_p4","source-json","ass17_p4","counting_to_100","place-value/number","Count the total number of objects. (Bundles of 10 and ones)","45","","","3534ec4b"
"raw-source","ch17","4","ass17_p4-2","source-json","ass17_p4","counting_to_100","place-value/number","Count the total number of objects. (Bundles of 10 and ones)","20","","expanded from ass17_p4","ce14ed47"
"raw-source","ch17","5","ch17-s21-q1","source-json","ch17-s21-q1","place-value-composition","place-value/number","20 and 3 make __","23","","","f7fe4df8"
"raw-source","ch17","6","ch17-s21-q4","source-json","ch17-s21-q4","ordinal-word-problem","arithmetic","If you are the 4th person in a line, how many people are in front of you?","3","","","9e2bd2a6"
"raw-source","ch17","7","ch17-s21-q5","source-json","ch17-s21-q5","number-comparison","place-value/number","Which is greater: 5 tens or 48 ones?","5 tens","","","5b2496b5"
"raw-source","ch17","8","ch17-s22-q1","source-json","ch17-s22-q1","analog-clock-read","time","Write the time shown on the clock.","3:30","","","5c520166"
"raw-source","ch17","9","ch17-s22-q3","source-json","ch17-s22-q3","shape-logic-counting","shape","How many green triangle papers do you need to cover a 2x2 square area if each small square uses 2 triangles?","8","","","c2e4c95e"
"raw-source","ch17","10","ch17-s22-q5","source-json","ch17-s22-q5","subtraction-word-problem","arithmetic","There were 12 cakes. 4 were eaten. How many are left?","8","","","d2364662"
"raw-source","ch17","11","ch17-s23-q1","source-json","ch17-s23-q1","shape-tracing-match","shape","Which shape do you get when tracing these objects?","{""object"":""Tissue box"",""shape"":""Rectangle""}","","","0abfea56"
"raw-source","ch17","11","ch17-s23-q1-2","source-json","ch17-s23-q1","shape-tracing-match","shape","Which shape do you get when tracing these objects?","{""object"":""Tent"",""shape"":""Triangle""}","","expanded from ch17-s23-q1","e642f117"
"raw-source","ch17","11","ch17-s23-q1-3","source-json","ch17-s23-q1","shape-tracing-match","shape","Which shape do you get when tracing these objects?","{""object"":""Ball"",""shape"":""Circle""}","","expanded from ch17-s23-q1","0aef3444"
"raw-source","ch17","12","ch17-s23-q4","source-json","ch17-s23-q4","stick-construction-analysis","","Look at the shape made of sticks [cross shape]. Answer the questions.","","","","86336032"
"adapted-source","ch10","1","ch10-s1-q1","unknown","ch10-s1-q1","quiz","shape-3d-identify","Which option is prism?","prism","[""sphere"",""cylinder"",""prism"",""cube""]","context=cheese-wedge","604ce845"
"adapted-source","ch10","2","ch10-s1-q1-2","unknown","ch10-s1-q1-2","quiz","shape-3d-identify","Which option is sphere?","sphere","[""sphere"",""cylinder"",""cuboid"",""cylinder""]","context=basket-ball","df5e3c2b"
"adapted-source","ch10","3","ch10-s1-q2","unknown","ch10-s1-q2","quiz","shape-3d-identify","Which option is cuboid?","Cuboid shape","[""Prism shape"",""Cuboid shape"",""Cube shape"",""Ball shape"",""Cylinder shape""]","context=brown-box","c0133e42"
"adapted-source","ch10","4","ch10-s1-q2-2","unknown","ch10-s1-q2-2","quiz","shape-3d-identify","Which option is prism?","Prism shape","[""Prism shape"",""Cuboid shape"",""Cube shape"",""Ball shape"",""Cylinder shape""]","context=blue-wedge","e2e846ea"
"adapted-source","ch10","5","ch10-s1-q2-3","unknown","ch10-s1-q2-3","quiz","shape-3d-identify","Which option is sphere?","Ball shape","[""Prism shape"",""Cuboid shape"",""Cube shape"",""Ball shape"",""Cylinder shape""]","context=green-ball","e833e7c9"
"adapted-source","ch10","6","ch10-s1-q2-4","unknown","ch10-s1-q2-4","quiz","shape-3d-identify","Which option is cylinder?","Cylinder shape","[""Prism shape"",""Cuboid shape"",""Cube shape"",""Ball shape"",""Cylinder shape""]","context=orange-roll","2c819c0b"
"adapted-source","ch10","7","ch10-s1-q2-5","unknown","ch10-s1-q2-5","quiz","shape-3d-identify","Which option is cube?","Cube shape","[""Prism shape"",""Cuboid shape"",""Cube shape"",""Ball shape"",""Cylinder shape""]","context=blue-cube","22fd3344"
"adapted-source","ch10","8","ch10-s2-q1","unknown","ch10-s2-q1","interactive","shape-3d-to-2d","What 2D shape comes from cylinder?","circle","[""circle"",""triangle"",""rectangle"",""square""]","context=cylinder","e5793956"
"adapted-source","ch10","9","ch10-s2-q1-2","unknown","ch10-s2-q1-2","interactive","shape-3d-to-2d","What 2D shape comes from prism?","triangle","[""triangle"",""square"",""circle"",""rectangle""]","context=prism","0a145ca7"
"adapted-source","ch10","10","ch10-s2-q1-3","unknown","ch10-s2-q1-3","interactive","shape-3d-to-2d","What 2D shape comes from cuboid?","rectangle","[""rectangle"",""triangle"",""circle"",""square""]","context=cuboid","10ce65f2"
"adapted-source","ch10","11","ch10-s2-q1-4","unknown","ch10-s2-q1-4","interactive","shape-3d-to-2d","What 2D shape comes from cube?","square","[""square"",""circle"",""triangle"",""rectangle""]","context=cube","d1690765"
"adapted-source","ch10","12","ch10-a-q5-1-cube","unknown","ch10-a-q5-1-cube","interactive","place-value-group","Group/count 6 blocks","0 tens, 6 ones","","context=cube","4f87aa56"
"adapted-source","ch10","13","ch10-a-q5-1-cuboid","unknown","ch10-a-q5-1-cuboid","interactive","place-value-group","Group/count 2 blocks","0 tens, 2 ones","","context=cuboid","285140ae"
"adapted-source","ch10","14","ch10-a-q5-1-cylinder","unknown","ch10-a-q5-1-cylinder","interactive","place-value-group","Group/count 1 blocks","0 tens, 1 ones","","context=cylinder","51c03162"
"adapted-source","ch11","1","ch11-s3-q1","unknown","ch11-s3-q1","interactive","compare-capacity","Arrange containers from least to most cups.","order C -> B -> A / [1,2,3]","[""A:3"",""B:2"",""C:1""]","context=teapot","5416fd12"
"adapted-source","ch11","2","ch11-s4-q1","unknown","ch11-s4-q1","interactive","compare-capacity","Tap the container that has more water.","7","[""green:5"",""orange:7"",""brown-clay:3""]","context=bucket","b5f1f08a"
"adapted-source","ch11","3","ch11-s5-q1","unknown","ch11-s5-q1","interactive","compare-area","Which shape has the smaller area?","D","[{""label"":""D"",""count"":2,""color"":""blue""},{""label"":""A"",""count"":4,""color"":""blue""}]","context=area","186f7a55"
"adapted-source","ch11","4","ch11-s5-q1-pair2","unknown","ch11-s5-q1-pair2","interactive","compare-area","Which shape has the smaller area?","A","[{""label"":""A"",""count"":4,""color"":""blue""},{""label"":""B"",""count"":6,""color"":""blue""}]","context=area","f11bd8a0"
"adapted-source","ch11","5","ch11-s5-q1-pair3","unknown","ch11-s5-q1-pair3","interactive","compare-area","Which shape has the smaller area?","B","[{""label"":""B"",""count"":6,""color"":""blue""},{""label"":""C"",""count"":8,""color"":""blue""}]","context=area","114d52fb"
"adapted-source","ch11","6","ch11-s6-q1","unknown","ch11-s6-q1","interactive","compare-area","Which shape has the larger area?","Shape A","[{""label"":""Shape A"",""count"":16,""color"":""blue""},{""label"":""Shape B"",""count"":8,""color"":""orange""}]","context=area","78e19465"
"adapted-source","ch11","7","ch11-s6-q1-pair2","unknown","ch11-s6-q1-pair2","interactive","compare-area","Which shape has the larger area?","Shape B","[{""label"":""Shape A"",""count"":8,""color"":""blue""},{""label"":""Shape B"",""count"":20,""color"":""orange""}]","context=area","85f10c05"
"adapted-source","ch11","8","ch11-s6-q1-pair3","unknown","ch11-s6-q1-pair3","interactive","compare-area","Which shape has the larger area?","Shape A","[{""label"":""Shape A"",""count"":20,""color"":""blue""},{""label"":""Shape B"",""count"":10,""color"":""orange""}]","context=area","0c932713"
"adapted-source","ch11","9","ch11-s6-q3","unknown","ch11-s6-q3","interactive","add-sub-mixed","Omar colored 12 squares. Youssef colored 7 squares. How many more squares did Omar color?","5","","context=Which one wins?","5ae75d52"
"adapted-source","ch12","1","ch12-s7-q1","unknown","ch12-s7-q1","interactive","addition-make-10","9 + 3","{""finalAnswer"":12,""blanks"":[1,1,2,1,2,12]}","","","0313ac3d"
"adapted-source","ch12","2","ch12-s7-q1-2","unknown","ch12-s7-q1-2","interactive","addition-make-10","5 + 8","{""finalAnswer"":13,""blanks"":[2,2,3,2,3,13]}","","","bd93ff81"
"adapted-source","ch12","3","ch12-s7-q3","unknown","ch12-s7-q3","interactive","add-sub-mixed","There are 8 dogs. 7 more dogs come. How many dogs are there in total?","15","","context=dogs","2bc2a7f3"
"adapted-source","ch12","4","ch12-a-q1","unknown","ch12-a-q1","quiz","guided-box-make10","7 + ? = 10","{""finalAnswer"":3,""blanks"":[3]}","","","11bf971c"
"adapted-source","ch12","5","ch12-a-q1-2","unknown","ch12-a-q1-2","quiz","guided-box-make10","? + 9 = 10","{""finalAnswer"":1,""blanks"":[1]}","","","1b8d9a31"
"adapted-source","ch12","6","ch12-a-q1-3","unknown","ch12-a-q1-3","quiz","guided-box-make10","10 + 8 = ?","{""finalAnswer"":18,""blanks"":[18]}","","","8f705ec0"
"adapted-source","ch12","7","ch12-a-q1-4","unknown","ch12-a-q1-4","quiz","guided-box-make10","9 + 7 = ?","{""finalAnswer"":16,""blanks"":[16]}","","","01d38985"
"adapted-source","ch13","1","ch13-s8-q1","unknown","ch13-s8-q1","interactive","subtraction-use-10","14 - 8","{""finalAnswer"":6,""blanks"":[4,4,4,4,6]}","","","831c66df"
"adapted-source","ch13","2","ch13-s8-q3","unknown","ch13-s8-q3","quiz","guided-box-make10","10 + 5 = ?","{""finalAnswer"":15,""blanks"":[15]}","","","a66c86f3"
"adapted-source","ch13","3","ch13-s8-q3-2","unknown","ch13-s8-q3-2","quiz","guided-box-sub10","18 - 9 = ?","{""finalAnswer"":9,""blanks"":[9]}","","","ce5be2a8"
"adapted-source","ch13","4","ch13-s8-q3-3","unknown","ch13-s8-q3-3","quiz","guided-box-sub10","14 - 7 = ?","{""finalAnswer"":7,""blanks"":[7]}","","","dad50441"
"adapted-source","ch13","5","ch13-s8-q3-4","unknown","ch13-s8-q3-4","quiz","guided-box-sub10","12 - 4 = ?","{""finalAnswer"":8,""blanks"":[8]}","","","fed7e46c"
"adapted-source","ch13","6","ch13-a-q1","unknown","ch13-a-q1","quiz","guided-box-sub10","15 - 8","{""finalAnswer"":7,""blanks"":[7]}","","","8318419c"
"adapted-source","ch13","7","ch13-a-q1-2","unknown","ch13-a-q1-2","interactive","shape-3d-to-2d","What 2D shape comes from prism?","triangle","[""triangle"",""square"",""circle"",""rectangle""]","context=We traced a shape onto paper, and it looks like the opposite shape. Which shape did we trace?","0a145ca7"
"adapted-source","ch14","1","ch14-s9-q1","unknown","ch14-s9-q1","interactive","place-value-group","Group/count 40 blocks","4 tens, 0 ones","","context=block","cf45e2ff"
"adapted-source","ch14","2","ch14-s9-q1-2","unknown","ch14-s9-q1-2","interactive","place-value-group","Group/count 60 blocks","6 tens, 0 ones","","context=block","9bf7fbe3"
"adapted-source","ch14","3","ch14-s9-q1-3","unknown","ch14-s9-q1-3","interactive","place-value-group","Group/count 80 blocks","8 tens, 0 ones","","context=block","1d6c95bf"
"adapted-source","ch14","4","ch14-s10-q1","unknown","ch14-s10-q1","interactive","place-value-group","Group/count 36 sticks","3 tens, 6 ones","","context=stick","15beede6"
"adapted-source","ch14","5","ch14-s10-q1-2","unknown","ch14-s10-q1-2","interactive","place-value-group","Group/count 18 sticks","1 tens, 8 ones","","context=stick","5449554a"
"adapted-source","ch14","6","ch14-s10-q1-3","unknown","ch14-s10-q1-3","interactive","place-value-group","Group/count 90 sticks","9 tens, 0 ones","","context=stick","2b3dd90a"
"adapted-source","ch14","7","ch14-s10-q4","unknown","ch14-s10-q4","interactive","add-sub-mixed","Ahmed had 13 pencils. He gave away 9 of them. How many pencils does he have now?","4","","context=pencils","5dae5326"
"adapted-source","ch14","8","ch14-s11-q1","unknown","ch14-s11-q1","quiz","guided-box-make10","30 + ? = 100","{""finalAnswer"":100,""blanks"":[70]}","","context=hundreds chart","89ecc6fa"
"adapted-source","ch14","9","ch14-s11-q1-2","unknown","ch14-s11-q1-2","quiz","guided-box-make10","40 + ? = 100","{""finalAnswer"":100,""blanks"":[60]}","","context=hundreds chart","e596ed86"
"adapted-source","ch14","10","ch14-s11-q1-3","unknown","ch14-s11-q1-3","quiz","guided-box-make10","50 + ? = 100","{""finalAnswer"":100,""blanks"":[50]}","","context=hundreds chart","53beaa0a"
"adapted-source","ch14","11","ch14-s11-q1-4","unknown","ch14-s11-q1-4","quiz","guided-box-make10","80 + ? = 100","{""finalAnswer"":100,""blanks"":[20]}","","context=hundreds chart","a2500458"
"adapted-source","ch14","12","ch14-s12-q1","unknown","ch14-s12-q1","interactive","place-value-hundreds-chart","fill-missing on hundreds chart","47","","context=hundreds chart","62ac46ef"
"adapted-source","ch14","13","ch14-s12-q1-2","unknown","ch14-s12-q1-2","interactive","place-value-hundreds-chart","fill-missing on hundreds chart","82","","context=hundreds chart","f34f39b9"
"adapted-source","ch14","14","ch14-s15-q1","unknown","ch14-s15-q1","quiz","guided-box-sub10","74 - 1","{""finalAnswer"":73,""blanks"":[73]}","","","bdc1d231"
"adapted-source","ch14","15","ch14-s15-q1-2","unknown","ch14-s15-q1-2","quiz","guided-box-make10","30 + 70","{""finalAnswer"":100,""blanks"":[100]}","","","6e31c68a"
"adapted-source","ch14","16","ch14-s15-q1-3","unknown","ch14-s15-q1-3","quiz","guided-box-sub10","50 - 10","{""finalAnswer"":40,""blanks"":[40]}","","","f1241461"
"adapted-source","ch14","17","ch14-s15-q1-4","unknown","ch14-s15-q1-4","quiz","guided-box-make10","86 + 10","{""finalAnswer"":96,""blanks"":[96]}","","","29df075a"
"adapted-source","ch14","18","ch14-s16-q1","unknown","ch14-s16-q1","interactive","compare-capacity","Arrange containers from least to most cups.","order A -> C -> B / [1,4,2]","[""A:1"",""B:4"",""C:2""]","context=beakers_blue_liquid","368a7de2"
"adapted-source","ch14","19","ch14-s16-q3","unknown","ch14-s16-q3","interactive","add-sub-mixed","Mariam had 80 candies. She gave 40 to her brother. How many does she have left?","40","","context=items","c98050c7"
"adapted-source","ch15","1","s17_p2","unknown","s17_p2","quiz","guided-box-sub10","60 - 20 = ?","{""finalAnswer"":40,""blanks"":[40]}","","","5ba4ae74"
"adapted-source","ch15","2","s17_p2-2","unknown","s17_p2-2","quiz","guided-box-sub10","4 groups of 10 make ?","{""finalAnswer"":40,""blanks"":[40]}","","","bda998f9"
"adapted-source","ch15","3","s17_p2-3","unknown","s17_p2-3","quiz","guided-box-make10","71 + 8 = ?","{""finalAnswer"":79,""blanks"":[79]}","","","f44dc89e"
"adapted-source","ch15","4","s17_p2-4","unknown","s17_p2-4","quiz","guided-box-sub10","52 - 2 = ?","{""finalAnswer"":50,""blanks"":[50]}","","","e9dc6e9f"
"adapted-source","ch15","5","s17_p3","unknown","s17_p3","quiz","number-comparison","62 ? 69; 19 ? 91; 120 ? 112; 54 ? 47","62 < 69; 19 < 91; 120 > 112; 54 > 47",">; <; =","","0d0a5c13"
"adapted-source","ch15","6","s17_p4","unknown","s17_p4","interactive","compare-capacity","Arrange containers from least to most cups.","order A -> D -> B -> C / [4,2,1,3]","[""A:4"",""B:2"",""C:1"",""D:3""]","context=container","df8d6c93"
"adapted-source","ch15","7","s18_p2","unknown","s18_p2","quiz","guided-box-sub10","? 10s make 70","{""finalAnswer"":7,""blanks"":[7]}","","","f256dc5f"
"adapted-source","ch15","8","s18_p2-2","unknown","s18_p2-2","quiz","guided-box-sub10","10 and ? make 12","{""finalAnswer"":2,""blanks"":[2]}","","","313dbc8a"
"adapted-source","ch15","9","s18_p2-3","unknown","s18_p2-3","quiz","guided-box-sub10","Pieces of colored green triangle paper needed to make a larger triangle (4 internal pieces)","{""finalAnswer"":4,""blanks"":[4]}","","","ce76d1af"
"adapted-source","ch15","10","s18_p2-4","unknown","s18_p2-4","quiz","guided-box-sub10","5 less than 90 is ?","{""finalAnswer"":85,""blanks"":[85]}","","","d556c5ec"
"adapted-source","ch15","11","s18_p3","unknown","s18_p3","interactive","place-value-hundreds-chart","fill-missing on hundreds chart","55","","context=hundreds chart","2be91820"
"adapted-source","ch15","12","s18_p3-2","unknown","s18_p3-2","interactive","place-value-hundreds-chart","fill-missing on hundreds chart","76","","context=hundreds chart","64248493"
"adapted-source","ch15","13","s18_p4","unknown","s18_p4","interactive","add-sub-mixed","There are 40 people on the bus, 20 people got off. How many people are on the bus now?","20","","context=items","d7c324fb"
"adapted-source","ch15","14","s19_p2","unknown","s19_p2","quiz","guided-box-make10","70 + ? = 100","{""finalAnswer"":100,""blanks"":[30]}","","","683e5875"
"adapted-source","ch15","15","s19_p2-2","unknown","s19_p2-2","quiz","guided-box-make10","80 + ? = 100","{""finalAnswer"":100,""blanks"":[20]}","","","1e2d618d"
"adapted-source","ch15","16","s19_p2-3","unknown","s19_p2-3","quiz","guided-box-make10","40 + ? = 100","{""finalAnswer"":100,""blanks"":[60]}","","","80b507ca"
"adapted-source","ch15","17","s19_p2-4","unknown","s19_p2-4","quiz","guided-box-make10","10 + ? = 100","{""finalAnswer"":100,""blanks"":[90]}","","","89cddc7c"
"adapted-source","ch15","18","s19_p2-5","unknown","s19_p2-5","quiz","guided-box-make10","50 + ? = 100","{""finalAnswer"":100,""blanks"":[50]}","","","bfcbc347"
"adapted-source","ch15","19","s19_p2-6","unknown","s19_p2-6","quiz","guided-box-make10","100 + ? = 100","{""finalAnswer"":100,""blanks"":[0]}","","","9daec63d"
"adapted-source","ch15","20","s19_p3","unknown","s19_p3","interactive","compare-area","Which shape has the larger area?","B","[{""label"":""B"",""count"":9,""color"":""blue""},{""label"":""A"",""count"":8,""color"":""orange""}]","context=area","05dcb65d"
"adapted-source","ch15","21","s19_p3-pair2","unknown","s19_p3-pair2","interactive","compare-area","Which shape has the larger area?","A","[{""label"":""A"",""count"":8,""color"":""blue""},{""label"":""C"",""count"":5,""color"":""orange""}]","context=area","28afe804"
"adapted-source","ch15","22","s19_p3-pair3","unknown","s19_p3-pair3","interactive","compare-area","Which shape has the larger area?","C","[{""label"":""C"",""count"":5,""color"":""blue""},{""label"":""D"",""count"":4,""color"":""orange""}]","context=area","9ec14052"
"adapted-source","ch15","23","s19_p4","unknown","s19_p4","interactive","guided-box-make10","8 + 5","{""finalAnswer"":13,""blanks"":[2,2,3,3,13]}","","","c99423b3"
"adapted-source","ch16","1","s20_p1","unknown","s20_p1","quiz","guided-box-make10","19 < 63","{""finalAnswer"":63,""blanks"":[63]}","","","01ff10ca"
"adapted-source","ch16","2","s20_p1-2","unknown","s20_p1-2","quiz","guided-box-make10","63 < 85","{""finalAnswer"":85,""blanks"":[85]}","","","58223d39"
"adapted-source","ch16","3","s20_p1-3","unknown","s20_p1-3","quiz","guided-box-make10","85 < 94","{""finalAnswer"":94,""blanks"":[94]}","","","1fbbba3c"
"adapted-source","ch16","4","s20_p1-4","unknown","s20_p1-4","quiz","guided-box-make10","94 < 100","{""finalAnswer"":100,""blanks"":[100]}","","","a378df6d"
"adapted-source","ch16","5","s20_p2","unknown","s20_p2","interactive","tell-time","What time is it?","10:30","[""10:30"",""10:00""]","context=clock","2ed5140c"
"adapted-source","ch16","6","s20_p2-2","unknown","s20_p2-2","interactive","tell-time","What time is it?","7:00","[""7:00"",""7:30""]","context=clock","2b74d576"
"adapted-source","ch16","7","s20_p4","unknown","s20_p4","quiz","guided-box-sub10","70 - 10 = ?","{""finalAnswer"":60,""blanks"":[60]}","","","cc781f54"
"adapted-source","ch16","8","s20_p4-2","unknown","s20_p4-2","quiz","guided-box-sub10","8 tens and 5 ones make ?","{""finalAnswer"":85,""blanks"":[85]}","","","d17c4de1"
"adapted-source","ch16","9","s20_p4-3","unknown","s20_p4-3","quiz","guided-box-sub10","? is 5 more than 41","{""finalAnswer"":46,""blanks"":[46]}","","","ec5b73a8"
"adapted-source","ch16","10","s20_p4-4","unknown","s20_p4-4","quiz","guided-box-sub10","The name of the shape [blue cube] is ? shape","{""finalAnswer"":""cube"",""blanks"":[""cube""]}","","","2379d6c7"
"adapted-source","ch16","11","ass16_p1","unknown","ass16_p1","quiz","shape-3d-identify","Which option is cylinder?","cylinder","[""cuboid"",""triangular_prism"",""cube"",""cylinder""]","context=cylinder","fd51b38e"
"adapted-source","ch16","12","ass16_p2","unknown","ass16_p2","interactive","compare-capacity","Tap the container that has more water.","3","[""a:3"",""b:3""]","context=container","efbcb534"
"adapted-source","ch16","13","ass16_p2-2","unknown","ass16_p2-2","interactive","compare-capacity","Tap the container that has more water.","4","[""a:4"",""b:4""]","context=container","be1ad99c"
"adapted-source","ch16","14","ass16_p2-3","unknown","ass16_p2-3","interactive","compare-capacity","Tap the container that has more water.","5","[""a:5"",""b:5""]","context=container","7b0cd3fb"
"adapted-source","ch16","15","ass16_p2-4","unknown","ass16_p2-4","interactive","compare-capacity","Tap the container that has more water.","6","[""a:6"",""b:6""]","context=container","638b5b3b"
"adapted-source","ch16","16","ass16_p3","unknown","ass16_p3","quiz","shape-3d-identify","Which option is sphere?","sphere","[""sphere"",""cylinder"",""cylinder"",""cylinder""]","context=Which one does not belong?","d2a818af"
"adapted-source","ch16","17","ass16_p3-2","unknown","ass16_p3-2","quiz","shape-3d-identify","Which option is cube?","cube","[""cube"",""prism"",""prism"",""prism""]","context=Which one does not belong?","1fd37d62"
"adapted-source","ch16","18","ass16_p5","unknown","ass16_p5","interactive","compare-area","Which shape has the larger area?","A","[{""label"":""A"",""count"":4,""color"":""blue""},{""label"":""D"",""count"":4,""color"":""orange""}]","context=area","f4f3875f"
"adapted-source","ch16","19","ass16_p5-pair2","unknown","ass16_p5-pair2","interactive","compare-area","Which shape has the larger area?","D","[{""label"":""D"",""count"":4,""color"":""blue""},{""label"":""B"",""count"":3,""color"":""orange""}]","context=area","fc9a019d"
